sample,DDX11L1,WASH7P,MIR6859-1,MIR1302-2HG,FAM138A,OR4G4P,OR4G11P,OR4F5,RP11-34P13.7,CICP27,tissue_type
GTEX-1117F-3226-SM-5N9CT,0.017759999999999998,6.892,0.0,0.0,0.0,0.03656,0.03267,0.1004,0.02986,0.0,Cortex 
GTEX-111FC-3126-SM-5GZZ2,0.0,4.225,0.4912,0.07712999999999999,0.0,0.0,0.1066,0.03638,0.03247,0.028939999999999997,Cortex 
GTEX-111FC-3326-SM-5GZYV,0.0,7.778,0.7709999999999999,0.0,0.0,0.0,0.0,0.05711,0.025490000000000002,0.04543,Cerebellum 
GTEX-1128S-2726-SM-5H12C,0.01709,2.359,0.0,0.03413,0.02424,0.03518,0.1258,0.032189999999999996,0.0,0.0,Cortex 
GTEX-1128S-2826-SM-5N9DI,0.0,8.939,0.0,0.0,0.0,0.0,0.1143,0.05851,0.02611,0.04655,Cerebellum 
GTEX-117XS-3026-SM-5N9CA,0.0,3.693,0.0,0.030780000000000002,0.02186,0.03173,0.02835,0.058070000000000004,0.01296,0.0,Cortex 
GTEX-117XS-3126-SM-5GIDP,0.03692,8.219,0.0,0.0,0.0,0.0,0.0,0.1391,0.031030000000000002,0.03687,Cerebellum 
GTEX-1192X-0011-R10a-SM-DO941,0.03947,1.5419999999999998,0.0,0.0394,0.0,0.0,0.0726,0.03717,0.0,0.0,Frontal Cortex (BA9) 
GTEX-1192X-0011-R5a-SM-DNZZA,0.0,2.137,0.0,0.05749,0.0,0.0889,0.05296,0.1085,0.04841,0.0,Caudate (basal ganglia) 
GTEX-1192X-0011-R6a-SM-DNZZB,0.0,1.9180000000000001,0.0,0.054479999999999994,0.0,0.1123,0.05019,0.1285,0.022940000000000002,0.0,Nucleus accumbens (basal ganglia) 
GTEX-1192X-0011-R7b-SM-DNZZC,0.0,1.893,0.0,0.1037,0.0,0.1069,0.04777,0.09782,0.021830000000000002,0.01945,Putamen (basal ganglia) 
GTEX-1192X-0011-R8b-SM-DO11U,0.0,2.037,0.0,0.03633,0.025810000000000003,0.03745,0.03347,0.1713,0.045880000000000004,0.0,Hypothalamus 
GTEX-1192X-0011-R9b-SM-DO934,0.0,3.6,0.0,0.0,0.0,0.07488,0.033460000000000004,0.0,0.0,0.05451,Spinal cord (cervical c-1) 
GTEX-1192X-3126-SM-5N9BY,0.02598,5.04,0.0,0.051870000000000006,0.0,0.0,0.04779,0.04893,0.0,0.0,Cortex 
GTEX-1192X-3226-SM-5987D,0.03228,6.347,0.0,0.1289,0.0,0.0,0.0,0.06081,0.054270000000000006,0.01612,Cerebellum 
GTEX-11DXW-0011-R1a-SM-DNZZD,0.0,0.773,0.0,0.02522,0.0,0.052000000000000005,0.1626,0.09516000000000001,0.05309,0.0,Hippocampus 
GTEX-11DXW-0011-R3b-SM-DNZZE,0.0,0.8928,0.0,0.0,0.041389999999999996,0.03003,0.1342,0.1099,0.0,0.0,Anterior cingulate cortex (BA24) 
GTEX-11DXW-0011-R5b-SM-DO11D,0.0,0.8156,0.0,0.04313,0.0,0.0667,0.1788,0.2034,0.009079,0.0,Caudate (basal ganglia) 
GTEX-11DXW-0011-R6a-SM-DO11N,0.01051,2.531,0.0,0.020980000000000002,0.01491,0.04326,0.1933,0.059379999999999995,0.0265,0.0105,Nucleus accumbens (basal ganglia) 
GTEX-11DXW-0011-R7b-SM-DO119,0.0,0.8327,0.0,0.1256,0.0,0.1295,0.2121,0.1382,0.01763,0.0,Putamen (basal ganglia) 
GTEX-11DXW-1026-SM-5H11K,0.0,5.393,0.0,0.06669,0.0,0.0,0.0,0.1258,0.0,0.01668,Cerebellum 
GTEX-11DXW-1126-SM-5H12Q,0.0,2.201,0.0,0.0,0.02306,0.06692000000000001,0.0299,0.09185,0.02733,0.0,Cortex 
GTEX-11DXY-0011-R10b-SM-DO12C,0.0,2.61,0.0,0.0,0.0,0.0655,0.1756,0.05994,0.0,0.01589,Frontal Cortex (BA9) 
GTEX-11DXY-0011-R11a-SM-DNZZN,0.04045,6.056,0.0,0.04038,0.0,0.04163,0.1488,0.0,0.051,0.0202,Cerebellar Hemisphere 
GTEX-11DXY-0011-R5b-SM-DNZZL,0.0,2.67,0.0,0.0,0.0,0.06299,0.0,0.05764,0.01286,0.015280000000000002,Caudate (basal ganglia) 
GTEX-11DXY-0011-R6a-SM-DNZZF,0.0,1.952,0.0,0.02474,0.0,0.051019999999999996,0.1824,0.04668,0.03125,0.01238,Nucleus accumbens (basal ganglia) 
GTEX-11DXY-0011-R7a-SM-DO11L,0.01266,1.929,0.0,0.0,0.03592,0.1303,0.06987,0.07155,0.01064,0.006324000000000001,Putamen (basal ganglia) 
GTEX-11DXY-0011-R8a-SM-DO11M,0.0,1.5759999999999998,0.0,0.0543,0.0,0.0,0.05002,0.1024,0.01143,0.0,Hypothalamus 
GTEX-11DXY-3126-SM-5N9BT,0.0,7.3229999999999995,0.0,0.05152,0.0,0.053110000000000004,0.04746,0.0486,0.0,0.07732,Cerebellum 
GTEX-11DXY-3226-SM-5GIDE,0.0,2.394,0.0,0.0,0.0,0.0,0.08785,0.04498,0.020069999999999998,0.0,Cortex 
GTEX-11DYG-0011-R10b-SM-DNZZO,0.0,1.643,0.0,0.028630000000000003,0.0,0.1476,0.07912999999999999,0.1621,0.01205,0.007162000000000001,Frontal Cortex (BA9) 
GTEX-11DYG-0011-R11a-SM-DNZZP,0.0,6.763,0.0,0.0,0.0,0.045110000000000004,0.0,0.08256000000000001,0.0,0.02189,Cerebellar Hemisphere 
GTEX-11DYG-0011-R5a-SM-DO928,0.0,1.239,0.0,0.0,0.0,0.0,0.02431,0.02489,0.02222,0.0,Caudate (basal ganglia) 
GTEX-11DYG-0011-R6a-SM-DO936,0.0,2.076,0.0,0.0393,0.0,0.0,0.0362,0.0,0.0,0.01966,Nucleus accumbens (basal ganglia) 
