sample,DDX11L1_expression,tissue_type
GTEX-1117F-3226-SM-5N9CT,0.01776,Cortex 
GTEX-111FC-3126-SM-5GZZ2,0,Cortex 
GTEX-111FC-3326-SM-5GZYV,0,Cerebellum 
GTEX-1128S-2726-SM-5H12C,0.01709,Cortex 
GTEX-1128S-2826-SM-5N9DI,0,Cerebellum 
GTEX-117XS-3026-SM-5N9CA,0,Cortex 
GTEX-117XS-3126-SM-5GIDP,0.03692,Cerebellum 
GTEX-1192X-0011-R10a-SM-DO941,0.03947,Frontal Cortex (BA9) 
GTEX-1192X-0011-R5a-SM-DNZZA,0,Caudate (basal ganglia) 
GTEX-1192X-0011-R6a-SM-DNZZB,0,Nucleus accumbens (basal ganglia) 
GTEX-1192X-0011-R7b-SM-DNZZC,0,Putamen (basal ganglia) 
GTEX-1192X-0011-R8b-SM-DO11U,0,Hypothalamus 
GTEX-1192X-0011-R9b-SM-DO934,0,Spinal cord (cervical c-1) 
GTEX-1192X-3126-SM-5N9BY,0.02598,Cortex 
GTEX-1192X-3226-SM-5987D,0.03228,Cerebellum 
GTEX-11DXW-0011-R1a-SM-DNZZD,0,Hippocampus 
GTEX-11DXW-0011-R3b-SM-DNZZE,0,Anterior cingulate cortex (BA24) 
GTEX-11DXW-0011-R5b-SM-DO11D,0,Caudate (basal ganglia) 
GTEX-11DXW-0011-R6a-SM-DO11N,0.01051,Nucleus accumbens (basal ganglia) 
GTEX-11DXW-0011-R7b-SM-DO119,0,Putamen (basal ganglia) 
GTEX-11DXW-1026-SM-5H11K,0,Cerebellum 
GTEX-11DXW-1126-SM-5H12Q,0,Cortex 
GTEX-11DXY-0011-R10b-SM-DO12C,0,Frontal Cortex (BA9) 
GTEX-11DXY-0011-R11a-SM-DNZZN,0.04045,Cerebellar Hemisphere 
GTEX-11DXY-0011-R5b-SM-DNZZL,0,Caudate (basal ganglia) 
GTEX-11DXY-0011-R6a-SM-DNZZF,0,Nucleus accumbens (basal ganglia) 
GTEX-11DXY-0011-R7a-SM-DO11L,0.01266,Putamen (basal ganglia) 
GTEX-11DXY-0011-R8a-SM-DO11M,0,Hypothalamus 
GTEX-11DXY-3126-SM-5N9BT,0,Cerebellum 
GTEX-11DXY-3226-SM-5GIDE,0,Cortex 
GTEX-11DYG-0011-R10b-SM-DNZZO,0,Frontal Cortex (BA9) 
GTEX-11DYG-0011-R11a-SM-DNZZP,0,Cerebellar Hemisphere 
GTEX-11DYG-0011-R5a-SM-DO928,0,Caudate (basal ganglia) 
GTEX-11DYG-0011-R6a-SM-DO936,0,Nucleus accumbens (basal ganglia) 
GTEX-11DYG-0011-R7b-SM-EXUS6,0,Putamen (basal ganglia) 
GTEX-11DYG-0011-R8a-SM-DO93F,0,Hypothalamus 
GTEX-11DYG-2926-SM-5H132,0.02971,Cerebellum 
GTEX-11DZ1-0011-R10b-SM-DO943,0,Frontal Cortex (BA9) 
GTEX-11DZ1-0011-R11b-SM-DO11W,0,Cerebellar Hemisphere 
GTEX-11DZ1-0011-R2a-SM-DNZZM,0,Substantia nigra 
GTEX-11DZ1-0011-R3a-SM-DNZYY,0.01497,Anterior cingulate cortex (BA24) 
GTEX-11DZ1-0011-R5a-SM-DO11J,0,Caudate (basal ganglia) 
GTEX-11DZ1-0011-R6b-SM-DNZZG,0.01376,Nucleus accumbens (basal ganglia) 
GTEX-11DZ1-0011-R7a-SM-DNZZH,0.01498,Putamen (basal ganglia) 
GTEX-11DZ1-0011-R8b-SM-DNZZI,0,Hypothalamus 
GTEX-11DZ1-0011-R9a-SM-DO933,0.01877,Spinal cord (cervical c-1) 
GTEX-11DZ1-2926-SM-5A5KI,0.03155,Cerebellum 
GTEX-11EI6-0011-R10a-SM-DO93R,0,Frontal Cortex (BA9) 
GTEX-11EI6-0011-R11a-SM-DO11V,0,Cerebellar Hemisphere 
GTEX-11EI6-0011-R1a-SM-DO93L,0.01289,Hippocampus 
GTEX-11EI6-0011-R8a-SM-DO93M,0,Hypothalamus 
GTEX-11EI6-2926-SM-5985U,0,Cerebellum 
GTEX-11EI6-3026-SM-5GZZO,0.01485,Cortex 
GTEX-11EMC-0011-R10a-SM-DNZZJ,0.03262,Frontal Cortex (BA9) 
GTEX-11EMC-0011-R11b-SM-DNZZK,0,Cerebellar Hemisphere 
GTEX-11EMC-0011-R2b-SM-DO114,0,Substantia nigra 
GTEX-11EMC-0011-R8b-SM-DO91Z,0,Hypothalamus 
GTEX-11EMC-0011-R9b-SM-DO921,0.01726,Spinal cord (cervical c-1) 
GTEX-11EMC-3226-SM-5EGKW,0,Cortex 
GTEX-11EMC-3326-SM-5P9JH,0,Cerebellum 
GTEX-11GS4-0011-R1a-SM-DO129,0.01527,Hippocampus 
GTEX-11GS4-0011-R2a-SM-DO942,0,Substantia nigra 
GTEX-11GS4-3126-SM-5A5LH,0.02153,Cortex 
GTEX-11GSO-0011-R1b-SM-57WD3,0,Hippocampus 
GTEX-11GSO-0011-R2a-SM-57WDF,0,Substantia nigra 
GTEX-11GSO-0011-R3b-SM-57WB2,0,Anterior cingulate cortex (BA24) 
GTEX-11GSO-2926-SM-5HL73,0.0263,Cortex 
GTEX-11GSO-3026-SM-5Q5AL,0,Cerebellum 
GTEX-11GSP-0011-R10a-SM-5NQ7J,0,Frontal Cortex (BA9) 
GTEX-11GSP-0011-R11b-SM-5NQ7V,0.04251,Cerebellar Hemisphere 
GTEX-11GSP-0011-R1a-SM-9QEJ3,0.01448,Hippocampus 
GTEX-11GSP-0011-R2b-SM-9QEGE,0,Substantia nigra 
